County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Cattaraugus,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Cattaraugus,Plant,Flowering Plants,Orchids,Neottia bifolia,Southern Twayblade,1960,Endangered,not listed,S1S2,G4,Historically Confirmed
Cattaraugus,Plant,Flowering Plants,Other Flowering Plants,Hypericum prolificum,Shrubby St. John's Wort,1997,Threatened,not listed,S2,G5,Recently Confirmed
Cattaraugus,Plant,Flowering Plants,Other Flowering Plants,Vitis vulpina,Winter Grape,1926,Endangered,not listed,S1,G5,Historically Confirmed
Cattaraugus,Plant,Flowering Plants,Sedges,Carex haydenii,Cloud Sedge,not available,Endangered,not listed,S1S2,G5,Historically Confirmed
Cayuga,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Cayuga,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Chlidonias niger,Black Tern,2007,Endangered,not listed,S2B,G4,Recently Confirmed
Cayuga,Animal,Fish,Sculpins,Cottus ricei,Spoonhead Sculpin,not available,Endangered,not listed,SH,G5,Historically Confirmed
Cayuga,Animal,Mussels and Clams,Freshwater Mussels,Lasmigona subviridis,Green Floater,2014,Threatened,not listed,S1S2,G3,Recently Confirmed
Cayuga,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar-ticks,not available,Threatened,not listed,S2,G5,Historically Confirmed
Cayuga,Plant,Flowering Plants,Orchids,Neottia bifolia,Southern Twayblade,1916,Endangered,not listed,S1S2,G4,Historically Confirmed
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,not available,Rare,not listed,S3,G5,Historically Confirmed
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Cuscuta cephalanthi,Buttonbush Dodder,1947,Endangered,not listed,S1,G5,Historically Confirmed
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Hydrastis canadensis,Goldenseal,2004,Threatened,not listed,S2,G3G4,Recently Confirmed
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Lespedeza frutescens,Violet Bush Clover,not available,Rare,not listed,S3,G5,Historically Confirmed
Cayuga,Plant,Flowering Plants,Sedges,Carex lupuliformis,False Hop Sedge,not available,Threatened,not listed,S2,G4,Historically Confirmed
Cayuga,Plant,Flowering Plants,Sedges,Carex sartwellii,Sartwell's Sedge,1919,Endangered,not listed,S1S2,G4G5,Historically Confirmed
Cayuga,Plant,Flowering Plants,Sedges,Cyperus odoratus,Fragrant Flat Sedge,not available,Rare,not listed,S3,G5,Historically Confirmed
Chautauqua,Plant,Flowering Plants,Other Flowering Plants,Castilleja coccinea,Scarlet Indian-paintbrush,1926,Endangered,not listed,S1,G5,Historically Confirmed
Chautauqua,Plant,Flowering Plants,Other Flowering Plants,Crataegus uniflora,Dwarf Hawthorn,not available,Endangered,not listed,SH,G5,Historically Confirmed
Chautauqua,Plant,Flowering Plants,Other Flowering Plants,Pinguicula vulgaris,Butterwort,1992,Threatened,not listed,S1S2,G5,Recently Confirmed
